trat,LOCAL_YEAR,sev,yld
6,12_2022,3,4323.545566502464
7,12_2022,5,3904.738756613756
7,12_2022,2,4156.889595876664
7,12_2022,5,3949.6495621237
7,12_2022,5,4467.238095238095
8,12_2022,2,4087.9996807151983
8,12_2022,3,4143.904305783616
8,12_2022,3.5,4923.294836708631
8,12_2022,2,4111.756773399015
9,12_2022,1,4337.605592045247
9,12_2022,5,4228.496305418719
9,12_2022,5,4684.284551176793
9,12_2022,4,4117.455938697319
10,12_2022,2,4105.190932311623
10,12_2022,8,4092.286330049261
10,12_2022,6,4535.100711548988
10,12_2022,4,4105.133620689656
1,13_2022,50,4815.647235905856
1,13_2022,52,4659.941730523627
1,13_2022,53,4402.589627805145
1,13_2022,53,4994.1616493340625
2,13_2022,23,5108.143472906403
2,13_2022,24,5125.057015143222
2,13_2022,23.5,4944.66680350301
2,13_2022,24,4804.016146688559
3,13_2022,23.5,5676.082717569787
3,13_2022,22,5558.608716475095
3,13_2022,22,4597.1538040503565
3,13_2022,21.5,4427.787470352126
4,13_2022,18.8,5232.536261631089
4,13_2022,18,5603.328544061304
4,13_2022,15.6,5330.334336799855
4,13_2022,18,4909.6024904214555
5,13_2022,15.6,4917.424968071519
5,13_2022,14.8,5282.205003648969
5,13_2022,14.8,5881.7249361430395
5,13_2022,15.6,5465.457375478927
6,13_2022,15.6,5422.294061302681
6,13_2022,15.6,5599.6168582375485
6,13_2022,15.2,5189.23611111111
6,13_2022,14.8,5562.080938697318
7,13_2022,15.6,5600.2668308702805
7,13_2022,16.4,4932.04365079365
7,13_2022,17.6,4923.97030651341
7,13_2022,16,6194.669654260172
8,13_2022,17.6,5491.815476190476
8,13_2022,16.4,5476.375775405947
8,13_2022,16,5341.406677613574
8,13_2022,16.8,5224.5826491516145
9,13_2022,16.8,5656.369731800766
9,13_2022,16,4983.05795019157
9,13_2022,17.2,5357.6673964605
9,13_2022,16.8,5787.279351395731
10,13_2022,15.6,5743.964947089947
10,13_2022,16,5243.500273672687
10,13_2022,16,5372.18060116767
10,13_2022,16,5092.32747217661
1,14_2022,10,3305.4022988505744
1,14_2022,11,3517.771392081738
1,14_2022,11,3814.827586206896
1,14_2022,10,3427.139208173691
2,14_2022,7,3430.9961685823755
2,14_2022,5,3642.988505747126
2,14_2022,6,4065.6577266922086
2,14_2022,6.5,3817.5925925925926
3,14_2022,4.5,3328.23754789272
3,14_2022,4,3772.030651340997
3,14_2022,4,3509.131545338442
3,14_2022,4,3921.954022988506
4,14_2022,5.2,3480.5555555555557
4,14_2022,4,3814.8659003831417
4,14_2022,3.5,3804.85312899106
4,14_2022,4,3743.7931034482754
5,14_2022,6,3419.578544061302
5,14_2022,4,3516.6283524904215
5,14_2022,4.5,4241.6475095785445
5,14_2022,5,4022.586206896552
6,14_2022,4,3354.5977011494247
6,14_2022,4.2,3876.4240102171134
6,14_2022,4,3894.7573435504464
6,14_2022,4,4068.103448275862
7,14_2022,3,3396.685823754789
7,14_2022,4.8,3604.597701149425
7,14_2022,5,3979.04214559387
7,14_2022,4.5,3873.5121328224777
8,14_2022,3.5,3757.547892720306
8,14_2022,5.5,3546.909323116219
8,14_2022,4.5,3429.1187739463603
8,14_2022,4.5,3834.827586206896
9,14_2022,3.3,3600.555555555558
9,14_2022,4.2,3596.379310344828
9,14_2022,4,3753.690932311622
9,14_2022,4,3543.4227330779054
10,14_2022,3.2,3765.083014048532
10,14_2022,3.5,3680.58748403576
10,14_2022,3.8,3522.337164750958
10,14_2022,3.5,3780.708812260536
1,15_2022,29.985555555555553,4279.859195402299
1,15_2022,38.24333333333333,4355.5862068965525
1,15_2022,35.214444444444446,4512.827586206897
1,15_2022,40.04111111111111,4288.577586206897
2,15_2022,18.694285714285712,4385.5862068965525
2,15_2022,16.300000000000004,4430
2,15_2022,12.1225,4712.068965517241
2,15_2022,15.195714285714288,4216.459770114943
3,15_2022,15.305,5026.206896551724
3,15_2022,15.68857142857143,4263.724137931034
3,15_2022,15.251111111111111,5126.068965517241
3,15_2022,14.013373015873016,3921.666666666667
4,15_2022,12.404285714285717,4639.6321839080465
4,15_2022,14.171111111111111,4882.58908045977
4,15_2022,11.226984126984128,4609.885057471265
4,15_2022,15.081111111111111,4947.672413793103
5,15_2022,19.598253968253964,4916.091954022989
5,15_2022,15.570000000000002,4526
5,15_2022,11.962777777777776,4832.4885057471265
5,15_2022,13.146666666666668,4300.6637931034475
6,15_2022,16.508333333333333,5155.100574712644
6,15_2022,15.047777777777776,5020
6,15_2022,9.802857142857142,5197.5
6,15_2022,14.295873015873015,4732.83908045977
7,15_2022,16.895714285714288,5036.068965517241
7,15_2022,13.44920634920635,4421.873563218391
7,15_2022,7.056666666666667,4885.172413793103
7,15_2022,10.6475,5400.146551724138
8,15_2022,18.7325,5255.48275862069
8,15_2022,12.185,5190
8,15_2022,17.979999999999997,5044.681034482759
8,15_2022,11.911428571428573,5286.413793103448
9,15_2022,15.936666666666666,5169.224137931034
9,15_2022,14.256666666666666,5230
9,15_2022,7.111111111111112,5094.27011494253
9,15_2022,16.804285714285715,5424.600574712644
10,15_2022,15.223333333333333,4858.448275862071
10,15_2022,12.482928571428571,4643.172413793104
10,15_2022,8.136666666666667,5371.758620689655
10,15_2022,14.66222222222222,5305.402298850576
